words,00s,10s,20s,50s,60s,70s,80s,90s
001,0,0,1,0,0,0,0,0
0102,0,0,0,0,0,0,0,1
0104,0,0,0,0,0,0,0,1
0125inchapter,0,0,1,0,0,0,0,0
02,0,0,0,0,0,0,0,1
0204,0,0,0,0,0,0,0,1
0302,0,0,0,0,0,0,0,1
0406,0,0,0,0,0,0,0,1
0502,0,0,0,0,0,0,0,1
0503,0,0,0,0,0,0,0,1
0504,0,0,0,0,0,0,0,1
06,0,0,1,0,0,0,0,0
0602,0,0,0,0,0,0,0,1
070,0,0,1,0,0,0,0,0
0705,0,0,0,0,0,0,0,1
08,0,0,1,0,0,0,0,0
0801,0,0,0,0,0,0,0,1
0904,0,0,0,0,0,0,0,1
10,0,1,3,0,1,1,0,1
100,0,0,3,0,0,0,0,1
10000,0,0,1,0,0,0,0,1
1003,0,0,0,0,0,0,0,1
101,1,0,2,0,0,1,0,1
102,1,0,1,0,0,0,0,0
103,0,0,1,0,0,0,0,0
104,0,0,1,0,0,0,0,0
105,0,0,1,0,0,0,0,0
106,0,0,1,0,0,0,0,0
1062018,0,0,1,0,0,0,0,0
107,0,0,1,0,0,0,0,0
108,0,0,1,0,0,0,0,0
109,0,0,1,0,0,0,0,0
10cellphones,0,0,1,0,0,0,0,0
10chris,0,0,1,0,0,0,0,0
10dj,0,0,1,0,0,0,0,0
10frvrfriday,0,0,1,0,0,0,0,0
10icebirds,0,0,1,0,0,0,0,0
10jennifer,0,0,1,0,0,0,0,0
10latrell,0,0,1,0,0,0,0,0
10leon,0,0,1,0,0,0,0,0
10mikky,0,0,1,0,0,0,0,0
10naseptember,0,0,1,0,0,0,0,0
11,0,1,2,0,1,1,0,0
110,0,0,1,0,0,0,0,1
1106,0,0,0,0,0,0,0,1
111,0,0,1,0,0,0,0,0
1111,0,0,1,0,0,0,0,0
112,0,0,1,0,0,0,0,0
112th,0,0,1,0,0,0,0,0
113,0,0,1,0,0,0,0,0
1134,0,0,1,0,0,0,0,0
114,0,0,1,0,0,0,0,0
115,0,0,1,0,0,0,0,0
116,0,0,1,0,0,0,0,0
116th,0,0,1,0,0,0,0,0
117,0,0,1,0,0,0,0,0
118,0,0,1,0,0,0,0,0
119,0,0,1,0,0,0,0,0
11all,0,0,1,0,0,0,0,0
11craig,0,0,1,0,0,0,0,0
11hoodrich,0,0,1,0,0,0,0,0
11jay,0,0,1,0,0,0,0,0
11namarch,0,0,1,0,0,0,0,0
11ocho,0,0,1,0,0,0,0,0
11playboi,0,0,1,0,0,0,0,0
11quavo,0,0,1,0,0,0,0,0
11thouxanbanfauni,0,0,1,0,0,0,0,0
12,0,1,4,0,0,0,0,1
120,0,1,1,0,0,0,0,0
1202,0,0,0,0,0,0,0,1
1203,0,0,0,0,0,0,0,1
1204,0,0,0,0,0,0,0,1
121,0,0,1,0,0,0,0,0
122,0,0,1,0,0,0,0,0
123,0,0,2,0,0,0,0,0
123go,0,0,0,0,0,0,0,1
124,0,0,1,0,0,0,0,0
1240,0,0,1,0,0,0,0,0
125,0,0,1,0,0,0,0,0
126,0,0,1,0,0,0,0,0
127,0,0,1,0,0,0,0,0
128,0,0,1,0,0,0,0,0
129,0,0,1,0,0,0,0,0
12aap,0,0,1,0,0,0,0,0
12april,0,0,1,0,0,0,0,0
12ashley,0,0,1,0,0,0,0,0
12chief,0,0,1,0,0,0,0,0
12dj,0,0,1,0,0,0,0,0
12dua,0,0,1,0,0,0,0,0
12inch,0,0,0,0,0,0,0,1
12marqo,0,0,1,0,0,0,0,0
12moby,0,0,1,0,0,0,0,0
12rumgold,0,0,1,0,0,0,0,0
13,0,1,2,0,0,1,0,0
130,0,1,2,0,0,0,0,0
1305,0,0,0,0,0,0,0,1
131,0,0,1,0,0,0,0,0
132,0,0,1,0,0,0,0,0
133,0,0,1,0,0,0,0,0
134,0,0,1,0,0,0,0,0
135,0,0,1,0,0,0,0,0
136,0,0,1,0,0,0,0,0
137,0,0,1,0,0,0,0,0
138,0,0,1,0,0,0,0,0
139,0,0,1,0,0,0,0,0
13dj,0,0,1,0,0,0,0,0
13doja,0,0,1,0,0,0,0,0
13ginny,0,0,1,0,0,0,0,0
13jackie,0,0,1,0,0,0,0,0
13najuly,0,0,1,0,0,0,0,0
13namay,0,0,1,0,0,0,0,0
13the,0,0,1,0,0,0,0,0
13tirzah,0,0,1,0,0,0,0,0
14,0,1,3,0,0,1,0,0
140,0,0,1,0,0,0,0,0
1404,0,0,0,0,0,0,0,1
1405,0,0,0,0,0,0,0,1
141,0,0,1,0,0,0,0,0
142,0,0,1,0,0,0,0,0
143,0,0,1,0,0,0,0,0
144,0,0,1,0,0,0,0,0
145,0,0,1,0,0,0,0,0
146,0,0,1,0,0,0,0,0
146lack,0,0,1,0,0,0,0,0
147,0,0,1,0,0,0,0,0
148,0,0,1,0,0,0,0,0
149,0,0,1,0,0,0,0,0
14chris,0,0,1,0,0,0,0,0
14haley,0,0,1,0,0,0,0,0
14naapril,0,0,1,0,0,0,0,0
14naaugust,0,0,1,0,0,0,0,0
14najuly,0,0,1,0,0,0,0,0
14namay,0,0,1,0,0,0,0,0
14nina,0,0,1,0,0,0,0,0
14rome,0,0,1,0,0,0,0,0
15,0,1,2,0,0,1,0,0
150,0,0,1,0,0,0,0,0
1501,0,0,0,0,0,0,0,1
1503,0,0,0,0,0,0,0,1
1504,0,0,0,0,0,0,0,1
1505,0,0,1,0,0,0,0,0
151,0,0,1,0,0,0,0,0
152,0,0,1,0,0,0,0,0
153,0,0,1,0,0,0,0,0
154,0,0,1,0,0,0,0,0
155,0,0,1,0,0,0,0,0
156,0,0,1,0,0,0,0,0
157,0,0,1,0,0,0,0,0
158,0,0,1,0,0,0,0,0
159,0,0,1,0,0,0,0,1
15alyson,0,0,1,0,0,0,0,0
15childish,0,0,1,0,0,0,0,0
15chris,0,0,1,0,0,0,0,0
15jay,0,0,1,0,0,0,0,0
15namay,0,0,1,0,0,0,0,0
15naseptember,0,0,1,0,0,0,0,0
15sabrina,0,0,1,0,0,0,0,0
15sonta,0,0,1,0,0,0,0,0
15tove,0,0,1,0,0,0,0,0
16,0,1,3,0,0,1,0,0
160,0,0,1,0,0,0,0,0
1601,0,0,0,0,0,0,0,1
1602,0,0,0,0,0,0,0,1
1604,0,0,0,0,0,0,0,1
161,0,0,1,0,0,0,0,0
1610,0,0,1,0,0,0,0,0
162,0,0,1,0,0,0,0,0
1620,0,0,1,0,0,0,0,0
163,0,0,1,0,0,0,0,0
164,0,0,1,0,0,0,0,0
165,0,0,1,0,0,0,0,0
166,0,0,1,0,0,0,0,0
167,0,0,1,0,0,0,0,0
168,0,0,1,0,0,0,0,0
169,0,0,1,0,0,0,0,0
16chris,0,0,1,0,0,0,0,0
16naaugust,0,0,1,0,0,0,0,0
16nafebruary,0,0,1,0,0,0,0,0
16namarch,0,0,1,0,0,0,0,0
16namay,0,0,1,0,0,0,0,0
16naseptember,0,0,1,0,0,0,0,0
16sonta,0,0,1,0,0,0,0,0
16th,0,0,1,0,0,0,0,0
16yaggfu,0,0,1,0,0,0,0,0
17,0,1,2,0,0,1,1,0
170,0,0,1,0,0,0,0,0
1701,0,0,0,0,0,0,0,1
171,0,0,1,0,0,0,0,0
172,0,0,1,0,0,0,0,0
173,0,0,1,0,0,0,0,0
174,0,0,1,0,0,0,0,0
175,0,0,1,0,0,0,0,0
176,0,0,1,0,0,0,0,0
177,0,0,1,0,0,0,0,0
178,0,0,1,0,0,0,0,0
179,0,0,1,0,0,0,0,0
17florence,0,0,1,0,0,0,0,0
17lil,0,0,1,0,0,0,0,0
17naaugust,0,0,1,0,0,0,0,0
17nafebruary,0,0,1,0,0,0,0,0
17namarch,0,0,1,0,0,0,0,0
17namay,0,0,1,0,0,0,0,0
17naseptember,0,0,1,0,0,0,0,0
17sonta,0,0,1,0,0,0,0,0
17th,0,0,1,0,0,0,0,0
17tyler,0,0,1,0,0,0,0,0
18,1,1,3,0,0,0,0,0
180,0,0,1,0,0,0,0,0
1802,0,0,0,0,0,0,0,1
1803,0,0,0,0,0,0,0,1
1804,0,0,0,0,0,0,0,1
1805,0,0,0,0,0,0,0,1
1806,1,0,0,0,0,0,0,1
181,0,0,1,0,0,0,0,0
1814,0,0,1,0,0,0,0,0
182,0,0,1,0,0,0,0,0
183,0,0,1,0,0,0,0,0
184,0,0,1,0,0,0,0,0
185,0,0,1,0,0,1,0,0
186,0,0,1,0,0,0,0,0
187,0,0,2,0,0,0,0,0
1870,1,0,1,0,0,0,0,0
187um,0,0,1,0,0,0,0,0
188,0,0,1,0,0,0,0,0
189,0,0,1,0,0,0,0,0
1895,1,0,0,0,0,0,0,0
18alessia,0,0,1,0,0,0,0,0
18cape,0,0,1,0,0,0,0,0
18desiigner,0,0,1,0,0,0,0,0
18mc,0,0,1,0,0,0,0,0
18naaugust,0,0,1,0,0,0,0,0
18nafebruary,0,0,1,0,0,0,0,0
18naseptember,0,0,1,0,0,0,0,0
18trouble,0,0,1,0,0,0,0,0
18yfn,0,0,1,0,0,0,0,0
19,0,1,2,0,0,0,0,1
190,0,0,1,0,0,0,0,0
1902,0,0,0,0,0,0,0,1
1903,0,0,0,0,0,0,0,1
1904,0,0,0,0,0,0,0,1
1905,0,0,0,0,0,0,0,1
191,0,0,1,0,0,0,0,0
1916,0,0,0,0,0,0,0,1
192,0,0,1,0,0,0,0,0
193,0,0,1,0,0,0,0,0
1939,0,0,1,0,0,0,0,0
194,0,0,1,0,0,0,0,0
1942,0,0,1,0,0,0,0,0
195,0,0,1,0,0,0,0,0
1950,0,0,1,0,0,0,0,0
19511964,0,0,1,0,0,0,0,0
196,0,0,1,0,0,0,0,0
1960,0,0,1,0,0,0,0,0
1961,0,0,1,0,0,0,0,0
1962,0,0,0,0,0,1,0,0
1963,0,0,1,0,0,0,0,0
1965,0,0,1,0,0,0,0,0
19651968,0,0,1,0,0,0,0,0
1969,0,0,0,0,0,1,0,0
197,0,0,1,0,0,0,0,0
1974,0,0,1,0,0,0,0,0
1975,0,0,1,0,0,0,0,0
1976,0,0,0,0,0,0,0,1
1977,0,0,1,0,0,0,0,0
198,0,0,1,0,0,0,0,0
1980,0,0,0,0,0,0,0,1
1980s,1,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,1
1984,0,0,1,0,0,0,0,0
1987,0,1,0,0,0,0,0,0
199,0,0,1,0,0,0,0,0
1990s,0,0,1,0,0,0,0,0
1992,0,0,1,0,0,0,0,0
1997,0,0,2,0,0,0,0,0
1999,0,0,1,0,0,0,0,0
199quad,0,0,1,0,0,0,0,0
199v,0,0,1,0,0,0,0,0
19carrie,0,0,1,0,0,0,0,0
19jonathan,0,0,1,0,0,0,0,0
19naaugust,0,0,1,0,0,0,0,0
19nafebruary,0,0,1,0,0,0,0,0
19og,0,0,1,0,0,0,0,0
19rlumr,0,0,1,0,0,0,0,0
19th,0,0,1,0,0,0,0,0
19the,0,0,1,0,0,0,0,0
19various,0,0,1,0,0,0,0,0
19yung,0,0,1,0,0,0,0,0
1aaliyah,0,0,1,0,0,0,0,0
1dj,0,0,1,0,0,0,0,0
1famous,0,0,1,0,0,0,0,0
